data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-06-01T17:00:00,ITA,6192,989,7181,218570,225751,-7923,2483,3868332,126221,,,4220304,66394073,28176202,,41,,,4071006,149298,49375245,17018828
2021-06-02T17:00:00,ITA,5858,933,6791,203259,210050,-15701,2897,3886867,126283,,,4223200,66620345,28242102,,33,,,4073711,149489,49495271,17125074
2021-06-03T17:00:00,ITA,5717,892,6609,198953,205562,-4488,1968,3893259,126342,,,4225163,66717978,28277767,,24,,,4075619,149544,49557296,17160682
2021-06-04T17:00:00,ITA,5488,836,6324,193868,200192,-5370,2557,3901112,126415,,,4227719,66938917,28338795,,22,,,4077954,149765,49661208,17277709
2021-06-05T17:00:00,ITA,5193,788,5981,189388,195369,-4823,2436,3908312,126472,,,4230153,67177549,28406266,,20,,,4080238,149915,49774399,17403150
2021-06-06T17:00:00,ITA,4963,774,5737,186535,192272,-3097,2275,3913633,126523,,,4232428,67327507,28461571,,20,,,4082442,149986,49862425,17465082
2021-06-07T17:00:00,ITA,4910,759,5669,182784,188453,-3819,1273,3918657,126588,,,4233698,67412074,28488295,,25,,,4083672,150026,49912181,17499893
2021-06-08T17:00:00,ITA,4685,688,5373,176353,181726,-6727,1896,3927176,126690,,,4235592,67632991,28548684,,17,,,4085408,150184,50013870,17619121
2021-06-09T17:00:00,ITA,4382,661,5043,169892,174935,-6791,2199,3936088,126767,,,4237790,67851729,28610221,,24,,,4087520,150270,50136828,17714901
2021-06-10T17:00:00,ITA,4153,626,4779,164530,169309,-5626,2079,3943704,126855,,,4239868,68039849,28667166,,30,,,4089483,150385,50244071,17795778
2021-06-11T17:00:00,ITA,3876,597,4473,160766,165239,-4070,1901,3949597,126924,,,4241760,68257459,28722085,,21,,,4091256,150504,50341628,17915831
2021-06-12T17:00:00,ITA,3655,574,4229,158180,162409,-2830,1723,3954097,126976,,,4243482,68470425,28776813,,25,,,4092990,150492,50436753,18033672
2021-06-13T17:00:00,ITA,3542,565,4107,156206,160313,-2096,1390,3957557,127002,,,4244872,68604561,28817395,,20,,,4094276,150596,50510527,18094034
2021-06-14T17:00:00,ITA,3465,536,4001,153789,157790,-2523,907,3960951,127038,,,4245779,68683489,28841384,,11,,,4095163,150616,50555019,18128470
2021-06-15T17:00:00,ITA,3333,504,3837,102069,105906,-51884,1255,4014025,127101,,,4247032,68896197,28896891,,26,,,4096343,150689,50656352,18239845
2021-06-16T17:00:00,ITA,3064,471,3535,98320,101855,-4051,1400,4019424,127153,,,4248432,69099370,28945563,,9,,,4097711,150721,50764084,18335286
2021-06-17T17:00:00,ITA,2888,444,3332,95276,98608,-3247,1325,4023957,127190,,,4249755,69299685,28995279,,15,,,4098983,150772,50864061,18435624
2021-06-18T17:00:00,ITA,2680,416,3096,88976,92072,-6536,1147,4031605,127225,,,4250902,69515711,29044741,,11,,,4100092,150810,50952072,18563639
2021-06-19T17:00:00,ITA,2504,394,2898,86252,89150,-2922,1197,4035692,127253,,,4252095,69765699,29100240,,10,,,4101228,150867,51042709,18722990
2021-06-20T17:00:00,ITA,2444,389,2833,84877,87710,-1440,881,4037996,127270,,,4252976,69916221,29139717,,12,,,4102088,150888,51109726,18806495
2021-06-21T17:00:00,ITA,2390,385,2775,74078,76853,-10857,495,4049316,127291,,,4253460,69997973,29161438,,9,,,4102545,150915,51149035,18848938
2021-06-22T17:00:00,ITA,2289,362,2651,70313,72964,-3889,835,4054008,127322,,,4254294,70190855,29210013,,10,,,4103332,150962,51242092,18948763
2021-06-23T17:00:00,ITA,2140,344,2484,66135,68619,-4345,951,4059463,127334,,,4255434,70388886,29259826,,4,,,4104433,151001,51346290,19042596
2021-06-24T17:00:00,ITA,2027,328,2355,59954,62309,-6310,927,4066029,127362,,,4255700,70577077,29271255,,12,,,4104995,150705,51428966,19148111
2021-06-25T17:00:00,ITA,1899,306,2205,58030,60235,-2074,753,4068798,127418,,,4256451,70769618,29313666,,8,,,4105701,150750,51505508,19264110
2021-06-26T17:00:00,ITA,1771,298,2069,55663,57732,-2503,838,4072099,127458,,,4257289,70994111,29367696,,9,,,4106499,150790,51585935,19408176
2021-06-27T17:00:00,ITA,1743,294,2037,55125,57162,-570,782,4073435,127472,,,4258069,71131694,29405776,,10,,,4107243,150826,51647749,19483945
2021-06-28T17:00:00,ITA,1723,289,2012,52670,54682,-2480,389,4076274,127500,,,4258456,71207555,29428012,,5,,,4107618,150838,51686201,19521354
2021-06-29T17:00:00,ITA,1676,270,1946,50878,52824,-1858,679,4078767,127542,,,4259133,71398190,29473226,,9,,,4108244,150889,51772454,19625736
2021-06-30T17:00:00,ITA,1593,247,1840,48601,50441,-2383,776,4081902,127566,,,4259909,71583206,29517174,,4,,,4108966,150943,51864808,19718398
2021-07-01T17:00:00,ITA,1532,229,1761,47597,49358,-1083,882,4083843,127587,,,4260788,71771680,29563394,,7,,,4109793,150995,51953621,19818059
2021-07-02T17:00:00,ITA,1469,213,1682,46097,47779,-1579,794,4086188,127615,,,4261582,71970918,29609709,,3,,,4110555,151027,52036180,19934738
2021-07-03T17:00:00,ITA,1394,204,1598,43978,45576,-2203,932,4089298,127637,,,4262511,72199045,29666383,,2,,,4111443,151068,52121065,20077980
2021-07-04T17:00:00,ITA,1364,197,1561,43103,44664,-912,808,4091004,127649,,,4263317,72340685,29708383,,7,,,4112192,151125,52185355,20155330
2021-07-05T17:00:00,ITA,1337,191,1528,42003,43531,-1133,480,4092586,127680,,,4263797,72415334,29730813,,2,,,4112667,151130,52219735,20195599
