location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million
Italy,ITA,2020-12-27,7334,7334,,,7334,,0.01,0.01,,,
Italy,ITA,2020-12-28,8835,8835,,,1501,1501,0.01,0.01,,,25
Italy,ITA,2020-12-29,9927,9927,,,1092,1296,0.02,0.02,,,21
Italy,ITA,2020-12-30,14771,14771,,,4844,2479,0.02,0.02,,,41
Italy,ITA,2020-12-31,40608,40608,,,25837,8318,0.07,0.07,,,138
Italy,ITA,2021-01-01,51845,51845,,,11237,8902,0.09,0.09,,,147
Italy,ITA,2021-01-02,90951,90951,,,39106,13936,0.15,0.15,,,231
Italy,ITA,2021-01-03,126832,126832,,,35881,17071,0.21,0.21,,,283
Italy,ITA,2021-01-04,196911,196911,9,,70079,26868,0.33,0.33,0.0,,445
Italy,ITA,2021-01-05,277930,277930,11,,81019,38286,0.46,0.46,0.0,,634
Italy,ITA,2021-01-06,343967,343967,12,,66037,47028,0.57,0.57,0.0,,779
Italy,ITA,2021-01-07,437476,437476,14,,93509,56695,0.72,0.72,0.0,,939
Italy,ITA,2021-01-08,534672,534672,14,,97196,68975,0.89,0.89,0.0,,1143
Italy,ITA,2021-01-09,623169,623169,14,,88497,76031,1.03,1.03,0.0,,1259
Italy,ITA,2021-01-10,684232,684232,14,,61063,79629,1.13,1.13,0.0,,1319
Italy,ITA,2021-01-11,766543,766543,14,,82311,81376,1.27,1.27,0.0,,1348
Italy,ITA,2021-01-12,849906,849906,14,,83363,81711,1.41,1.41,0.0,,1354
Italy,ITA,2021-01-13,945800,945800,14,,95894,85976,1.57,1.57,0.0,,1424
Italy,ITA,2021-01-14,1040857,1040857,14,,95057,86197,1.72,1.72,0.0,,1428
Italy,ITA,2021-01-15,1131778,1131778,14,,90921,85301,1.87,1.87,0.0,,1413
Italy,ITA,2021-01-16,1197529,1197529,14,,65751,82051,1.98,1.98,0.0,,1359
